"experiment","minutes_watched"
"A","114.36"
"A","108.88"
"A","182.38"
"A","91.6"
"A","65.83"
"A","166.63"
"A","84.05"
"A","167.25"
"A","114.02"
"A","123.96"
"A","122.46"
"A","148.09"
"A","139.29"
"A","99.7"
"A","139.89"
"A","123.65"
"A","71.49"
"A","65.89"
"A","168.35"
"A","113.41"
"A","115.25"
"A","166.88"
"A","94.79"
"A","101.63"
"A","48.56"
"A","117.62"
"A","207.81"
"A","146.73"
"A","84.04"
"A","96.9"
"A","71.52"
"A","107.64"
"A","62.56"
"A","132.14"
"A","134.39"
"A","182.71"
"A","103.41"
"A","139.07"
"A","91.36"
"A","129.65"
"A","151.01"
"A","128.71"
"A","137.21"
"A","96.11"
"A","108.75"
"A","107.14"
"A","103.75"
"A","103.75"
"A","104.81"
"A","96.49"
"A","120.7"
"A","99.93"
"A","149.95"
"A","66.38"
"A","176.52"
"A","144.56"
"A","179.77"
"A","135.17"
"A","70.77"
"A","202.52"
"A","138.32"
"A","159.62"
"A","99.74"
"A","145.79"
"A","97.38"
"A","45.24"
"A","177.8"
"A","119.7"
"A","114.73"
"A","121.03"
"A","179.47"
"A","99.46"
"A","113.41"
"A","113.62"
"A","107.04"
"A","110.55"
"A","127.52"
"A","133.56"
"A","129.04"
"A","97.66"
"A","150.1"
"A","139.05"
"A","169.84"
"A","150.3"
"A","104.68"
"A","92.02"
"A","105.28"
"A","121.53"
"A","94.63"
"A","108.49"
"A","91.73"
"A","85.17"
"A","136.1"
"A","106.06"
"A","139.54"
"A","138.74"
"A","95.17"
"A","97.27"
"A","70.08"
"A","110.44"
"A","154.76"
"A","49.28"
"A","115.12"
"A","115.33"
"A","71.68"
"A","114.86"
"A","107.61"
"A","158.57"
"A","147.31"
"A","96.14"
"A","134.7"
"A","124.75"
"A","152.78"
"A","100.86"
"A","104.8"
"A","157.35"
"A","154.2"
"A","63"
"A","151.34"
"A","129.34"
"A","151.31"
"A","129.46"
"A","127.33"
"A","102.28"
"A","94.3"
"A","153.19"
"A","126.8"
"A","130.24"
"A","103.48"
"A","119.59"
"A","109.58"
"A","61.91"
"A","100.79"
"A","139.56"
"A","131.87"
"A","129.46"
"A","130.78"
"A","79.69"
"A","114.19"
"A","165.06"
"A","172.62"
"A","169.98"
"A","145.89"
"A","118.59"
"A","179.65"
"A","100.71"
"A","157.77"
"A","113.29"
"A","106.95"
"A","103.32"
"A","98.73"
"A","77.13"
"A","168.44"
"A","99.22"
"A","122.6"
"A","109.47"
"A","130.96"
"A","130.89"
"A","160.39"
"A","163.4"
"A","121.45"
"A","91.99"
"A","156.62"
"A","137.52"
"A","84.02"
"A","137.83"
"A","89.33"
"A","138.13"
"A","76.06"
"A","142.48"
"A","166.45"
"A","172.73"
"A","160.63"
"A","97.84"
"A","154.85"
"A","120.68"
"A","150.47"
"A","105.6"
"A","121.5"
"A","116.37"
"A","153.84"
"A","131.87"
"A","119.95"
"A","124.54"
"A","129.71"
"A","90.47"
"A","59.89"
"A","101.79"
"A","169.96"
"A","120.05"
"A","131.57"
"A","60.68"
"A","145.55"
"A","115.51"
"A","166.37"
"A","96.83"
"A","102.57"
"A","158.95"
"A","120.66"
"A","142.76"
"A","138.09"
"A","122.36"
"A","110.88"
"A","123.18"
"A","155.4"
"A","73.48"
"A","96.43"
"A","64.17"
"A","117.98"
"A","125.68"
"A","136.1"
"A","102.37"
"A","144.83"
"A","103.85"
"A","89.11"
"A","93.21"
"A","134.07"
"A","107.26"
"A","61.88"
"A","120.26"
"A","157.24"
"A","138.81"
"A","133.07"
"A","151.74"
"A","98.51"
"A","136.26"
"A","140.15"
"A","133.99"
"A","95.66"
"A","138.54"
"A","150.35"
"A","121.14"
"A","95.52"
"A","135.26"
"A","119.8"
"A","137.58"
"A","167.4"
"A","126.97"
"A","95.67"
"A","137.13"
"A","83.85"
"A","129.04"
"A","144.94"
"A","134.4"
"A","114.11"
"A","127.5"
"A","89.39"
"A","109.02"
"A","143.27"
"A","164.08"
"A","156.18"
"A","84.35"
"A","131.79"
"A","154.77"
"A","92.5"
"A","55.82"
"A","130.25"
"A","114.24"
"A","155.25"
"A","70.3"
"A","127.61"
"A","152.94"
"A","168.57"
"A","132.87"
"A","136.7"
"A","183.62"
"A","150.18"
"A","102.53"
"A","100.14"
"A","96.02"
"A","111.67"
"A","124.62"
"A","140.53"
"A","100.01"
"A","77.33"
"A","114.1"
"A","160.77"
"A","131.8"
"A","147.68"
"A","119.76"
"A","122.39"
"A","159.34"
"A","122.64"
"A","118.65"
"A","122.54"
"A","132.5"
"A","79.9"
"A","122.71"
"A","91.69"
"A","153.71"
"A","127.75"
"A","144.66"
"A","125.61"
"A","92.04"
"A","143.27"
"A","112.9"
"A","148.13"
"A","86.56"
"A","135.06"
"A","151.08"
"A","129.63"
"A","50.94"
"A","138.73"
"A","104.5"
"A","64.71"
"A","129.75"
"A","111.02"
"A","147.54"
"A","107.73"
"A","150.54"
"A","110.9"
"A","87.01"
"A","138.85"
"A","123.01"
"A","107.14"
"A","172.82"
"A","84.2"
"A","121.16"
"A","51.93"
"A","95.12"
"A","98.58"
"A","123.23"
"A","132.52"
"A","158.27"
"A","145.69"
"A","110.45"
"A","129.15"
"A","110.87"
"A","99.48"
"A","125.87"
"A","121.66"
"A","122.9"
"A","182.5"
"A","29.63"
"A","84.68"
"A","141.54"
"A","135.32"
"A","123.2"
"A","146.35"
"A","97.18"
"A","131.14"
"A","91.68"
"A","162.78"
"A","127.4"
"A","109.36"
"A","99.6"
"A","75.37"
"A","119.76"
"A","124.66"
"A","99.13"
"A","128.36"
"A","86.55"
"A","187.99"
"A","118.65"
"A","125.99"
"A","135.22"
"A","152.85"
"A","103.43"
"A","154.06"
"A","121.37"
"A","129.52"
"A","140.45"
"A","74.4"
"A","151.69"
"A","108.15"
"A","110.38"
"A","101.26"
"A","128.97"
"A","121.08"
"A","135.45"
"A","154.03"
"A","128.87"
"A","131.97"
"A","101.08"
"A","218.57"
"A","107.71"
"A","148.29"
"A","153.87"
"A","153.76"
"A","139.53"
"A","126.69"
"A","151.47"
"A","110.82"
"A","130.64"
"A","127.35"
"A","153"
"A","134.25"
"A","141.86"
"A","143.55"
"A","133.65"
"A","105.47"
"A","149.91"
"A","151.82"
"A","62.89"
"A","89.99"
"A","178.1"
"A","86.78"
"A","141.5"
"A","109.28"
"A","112.36"
"A","75.52"
"A","81.82"
"A","111.17"
"A","118.32"
"A","133.88"
"A","111.05"
"A","136.21"
"A","123.92"
"A","114.46"
"A","120.46"
"A","118.88"
"A","150.41"
"A","106.76"
"A","88.95"
"A","131.01"
"A","205.43"
"A","134.65"
"A","52.87"
"A","82.5"
"A","95.19"
"A","158.64"
"A","146.82"
"A","90.37"
"A","166.89"
"A","96.48"
"A","100"
"A","122.36"
"A","124.16"
"A","128.73"
"A","90.35"
"A","125.71"
"A","51.13"
"A","155.75"
"A","103.76"
"A","57.37"
"A","135.54"
"A","163.36"
"A","107.35"
"A","98.19"
"A","106.33"
"A","165.19"
"A","77.53"
"A","162.85"
"A","107.34"
"A","100.87"
"A","76.49"
"A","132.98"
"A","84.12"
"A","146.19"
"A","160.11"
"A","94.81"
"A","134.34"
"A","93.68"
"A","76.8"
"A","132.2"
"A","116.31"
"A","138.31"
"A","151.04"
"A","152.4"
"A","90.01"
"A","121.43"
"A","126.22"
"A","124.19"
"A","44.69"
"A","117.44"
"A","131.25"
"A","75.2"
"A","81.64"
"A","142.79"
"A","205.22"
"A","157.43"
"A","146.23"
"A","107.54"
"A","140.31"
"A","123.23"
"A","107.54"
"A","118.35"
"A","107.55"
"A","193.84"
"A","100.05"
"A","147.9"
"A","128.04"
"A","124.56"
"A","96.97"
"A","192"
"A","139.31"
"A","168.97"
"A","147.55"
"A","116.19"
"A","128.3"
"A","122.43"
"A","175.18"
"A","145.89"
"A","117.75"
"A","133.75"
"A","110.76"
"A","135.56"
"A","22.09"
"A","129.05"
"A","110.53"
"A","113.7"
"A","121.45"
"A","84.51"
"A","113.79"
"A","100.2"
"A","77.99"
"A","97.94"
"A","173.83"
"A","144.15"
"A","119.9"
"A","89.29"
"A","85.35"
"A","134.13"
"A","152.75"
"A","171.92"
"A","143.58"
"A","93.84"
"A","172.69"
"A","115.81"
"A","113.89"
"A","91.63"
"A","189.92"
"A","164.57"
"A","97"
"A","125.26"
"A","72.64"
"A","63.16"
"A","98.66"
"A","146.59"
"A","140.12"
"A","15.09"
"A","86.11"
"A","145.11"
"A","108.96"
"A","115.26"
"A","58.47"
"A","153.02"
"A","111.75"
"A","120.49"
"A","117.52"
"A","146.21"
"A","143.82"
"A","114.98"
"A","125.83"
"A","119.88"
"A","85.14"
"A","126.97"
"A","130.95"
"A","109.95"
"A","106.74"
"A","96.04"
"A","112.53"
"A","128.94"
"A","118.12"
"A","142.24"
"A","95.89"
"A","129.53"
"A","154.1"
"A","124.65"
"A","77.03"
"A","83.31"
"A","156.13"
"A","133.3"
"A","124.65"
"A","101.15"
"A","103.22"
"A","143.12"
"A","163.4"
"A","87.05"
"A","103.26"
"A","94.61"
"A","115.36"
"A","103.38"
"A","121.4"
"A","101.87"
"A","176.96"
"A","160.1"
"A","37.13"
"A","157.94"
"A","88.52"
"A","112.28"
"A","84.13"
"A","127.44"
"A","177.06"
"A","94.07"
"A","100.57"
"A","128.4"
"A","111.63"
"A","92.62"
"A","128.41"
"A","131.15"
"A","61.52"
"A","94.45"
"A","81.12"
"A","111.75"
"A","96.51"
"A","107.92"
"A","109.55"
"A","163"
"A","92.57"
"A","116.62"
"A","138.38"
"A","92.01"
"A","125.94"
"A","108.69"
"A","131.7"
"A","166.77"
"A","89"
"A","133.27"
"A","172.32"
"A","129.75"
"A","130.5"
"A","112.98"
"A","154.46"
"A","79.38"
"A","165.93"
"A","148.15"
"A","117.67"
"A","68.28"
"A","122.48"
"A","54.99"
"A","93.05"
"A","112.59"
"A","148.18"
"A","161.63"
"A","135.64"
"A","123.1"
"A","97.5"
"A","130.12"
"A","142.37"
"A","92.44"
"A","84.33"
"A","145.3"
"A","157.76"
"A","100.9"
"A","50.32"
"A","117.7"
"A","162.73"
"A","155.02"
"A","76.42"
"A","113.46"
"A","163.72"
"A","98.97"
"A","113.04"
"A","107.89"
"A","92.43"
"A","155.47"
"A","80.83"
"A","86.01"
"A","122.57"
"A","90.41"
"A","168.6"
"A","101.44"
"A","149.08"
"A","127.68"
"A","81.01"
"A","177.51"
"A","72.71"
"A","104.85"
"A","84.08"
"A","125.44"
"A","134.32"
"A","61.19"
"A","64.97"
"A","124.19"
"A","124.49"
"A","123.32"
"A","116.85"
"A","70.2"
"A","50.9"
"A","121.41"
"A","104.94"
"A","152.36"
"A","116.95"
"A","124.13"
"A","114.95"
"A","114.18"
"A","107.75"
"A","145.77"
"A","88.56"
"A","123.8"
"A","125.6"
"A","121.12"
"A","110.23"
"A","113.46"
"A","49.53"
"A","133.04"
"A","74.55"
"A","112.63"
"A","82.47"
"A","185.13"
"A","102.89"
"A","179.02"
"A","173.74"
"A","140.19"
"A","186.05"
"A","49.52"
"A","131.51"
"A","129.15"
"A","117.68"
"A","104.87"
"A","95.57"
"A","96.77"
"A","143.34"
"A","150.79"
"A","116.78"
"A","99.07"
"A","62.66"
"A","133.47"
"A","124.08"
"A","137.77"
"A","150.4"
"A","140.34"
"A","154.36"
"A","142.01"
"A","113.07"
"A","93.23"
"A","112.89"
"A","169.32"
"A","114.77"
"A","119.78"
"A","142.91"
"A","111.9"
"A","187.79"
"A","102.33"
"A","110.34"
"A","82.08"
"A","98.67"
"A","83.37"
"A","129.29"
"A","89.28"
"A","42.77"
"A","117.53"
"A","115.63"
"A","125.58"
"A","143.91"
"A","141.91"
"A","166.02"
"A","100.86"
"A","134.79"
"A","143.9"
"A","91.59"
"A","105.68"
"A","106.93"
"A","192.4"
"A","151.34"
"A","81.39"
"A","45.91"
"A","120.6"
"A","101.69"
"A","105.95"
"A","165.95"
"A","129.05"
"A","126.85"
"A","45.93"
"A","143.03"
"A","81.08"
"A","114.01"
"A","109.78"
"A","89.13"
"A","140.51"
"A","150.21"
"A","98.6"
"A","136.19"
"A","110.59"
"A","93.41"
"A","140.38"
"A","145.42"
"A","108.49"
"A","115.11"
"A","89.76"
"A","83.33"
"A","124.27"
"A","173.17"
"A","140.46"
"A","132.86"
"A","147.1"
"A","130.99"
"A","142.79"
"A","109.25"
"A","123.87"
"A","120.63"
"A","157.16"
"A","114.92"
"A","94.05"
"A","149.94"
"A","104.49"
"A","126.82"
"A","143.76"
"A","83.68"
"A","113.55"
"A","139.55"
"A","105.42"
"A","119.77"
"A","135.72"
"A","107.46"
"A","114.76"
"A","113.85"
"A","79.31"
"A","106.1"
"A","123.35"
"A","139.94"
"A","117.27"
"A","135.23"
"A","143.44"
"A","138.96"
"A","129.27"
"A","118.24"
"A","104.2"
"A","122.96"
"A","106.44"
"A","104.74"
"A","72.91"
"A","97.75"
"A","73.11"
"A","107.61"
"A","92.98"
"A","123.22"
"A","134.69"
"A","75.46"
"A","161.66"
"A","118.92"
"A","117"
"A","123.16"
"A","122.68"
"A","104.6"
"A","115.06"
"A","56.43"
"A","109.14"
"A","163.31"
"A","86.1"
"A","80.39"
"A","112.15"
"A","168.56"
"A","62.58"
"A","150.05"
"A","134.22"
"A","94.64"
"A","85.76"
"A","107.56"
"A","55.6"
"A","158.74"
"A","144.15"
"A","66.38"
"A","128.84"
"A","133"
"A","138.31"
"A","131.52"
"A","132.05"
"A","68.49"
"A","161.47"
"A","128.68"
"A","131.15"
"A","111.2"
"A","72.42"
"A","74.46"
"A","124.06"
"A","82.98"
"A","81.95"
"A","140.61"
"A","149.56"
"A","153.58"
"A","116.87"
"A","119.68"
"A","118.45"
"A","161.42"
"A","128.32"
"A","158.2"
"A","173.5"
"A","114.96"
"A","176.31"
"A","125.89"
"A","146.19"
"A","102.45"
"A","80.64"
"A","54.2"
"A","157.26"
"A","118.76"
"A","149.96"
"A","94.09"
"A","155.17"
"A","105.4"
"A","122.43"
"A","107.45"
"A","139.99"
"A","106.65"
"A","105.37"
"A","106.99"
"A","68.88"
"A","131.44"
"A","92.5"
"A","146.38"
"A","136.89"
"A","92.27"
"A","125.29"
"A","120.07"
"A","105.36"
"A","91.34"
"A","66.31"
"A","145.09"
"A","54.97"
"A","144.36"
"A","148.82"
"A","132.75"
"A","109.09"
"A","84.26"
"A","90.36"
"A","66.28"
"A","109.35"
"A","107.78"
"A","128.33"
"A","109.11"
"A","118.6"
"A","191.32"
"A","95.49"
"A","99.86"
"A","115.88"
"A","137.48"
"A","101.1"
"A","126.67"
"A","117.56"
"A","73.94"
"A","163.35"
"A","160.62"
"A","123.43"
"A","90.16"
"A","113.66"
"A","141.38"
"A","205.45"
"A","81.88"
"A","118.41"
"A","127.11"
"A","140.92"
"A","138.22"
"A","59.23"
"A","126.24"
"A","122.61"
"A","151.83"
"A","129.98"
"A","122.86"
"A","93.15"
"A","154.72"
"A","122.17"
"A","119.59"
"A","120.44"
"A","139.07"
"A","128.39"
"A","75.52"
"A","115.65"
"A","118.7"
"A","133.85"
"A","73.89"
"A","99.8"
"A","104.51"
"A","98.35"
"A","126.11"
"A","106.84"
"A","99.24"
"A","87.38"
"A","120.78"
"A","97.25"
"A","145.8"
"A","142.27"
"A","138.86"
"A","132.8"
"A","70.93"
"A","165.86"
"A","130.05"
"A","141.1"
"A","76.58"
"A","106.23"
"A","58.24"
"A","166.49"
"A","144.18"
"A","127.83"
"A","109.13"
"A","158.55"
"A","120.51"
"A","123.55"
"A","149.82"
"A","112.26"
"A","165.35"
"A","113.94"
"A","170.68"
"A","144.22"
"A","78.4"
"A","120.58"
"A","94.02"
"A","184.98"
"A","173.54"
"A","117.13"
"A","129.41"
"A","132.28"
"A","162.22"
"A","182.45"
"A","136.3"
"A","106.11"
"A","87.27"
"A","135.76"
"A","137.18"
"A","144.17"
"A","139.01"
"A","126.73"
"A","129.23"
"A","147.48"
"A","81.39"
"A","117.62"
"A","124.79"
"A","126.89"
"A","65.39"
"A","157.9"
"A","142.66"
"A","127.96"
"A","115.99"
"A","167.17"
"A","77.42"
"A","138.43"
"A","81.77"
"A","143.64"
"A","178.64"
"A","131.45"
"A","126.44"
"A","124.62"
"A","128.49"
"A","122.25"
"A","159.01"
"A","154.34"
"A","119.02"
"A","172.93"
"A","135.22"
"A","127.16"
"A","104.05"
"A","152.54"
"A","84.87"
"A","77.12"
"A","137.01"
"A","76.55"
"A","99.82"
"A","142.2"
"A","64.49"
"A","105.02"
"A","105.92"
"A","87.24"
"A","67.84"
"A","170.96"
"A","146.84"
"A","68.61"
"A","162.59"
"A","143.25"
"A","108.74"
"A","53.48"
"A","27.97"
"A","106.94"
"A","189.18"
"A","81.24"
"A","172.63"
"A","120.38"
"A","51.79"
"A","110.18"
"A","82.06"
"A","82.87"
"A","115.48"
"A","126.58"
"A","174.16"
"A","165.26"
"A","131.4"
"A","109.75"
"A","128.27"
"A","86.59"
"A","119.19"
"A","104.7"
"A","104.97"
"A","72.07"
"A","139.46"
"A","170.73"
"A","111.64"
"A","170.53"
"A","87.17"
"A","121.63"
"A","43.77"
"A","102.39"
"A","127.85"
"A","93.28"
"A","100.13"
"A","81"
"A","97.58"
"A","87.23"
"A","122.93"
"A","122.84"
"A","143.42"
"A","69.17"
"A","109.89"
"A","106.07"
"A","139.73"
"A","150.08"
"A","108.3"
"A","138.26"
"A","143.7"
"A","144.4"
"A","105.24"
"A","88.19"
"A","124.09"
"A","131.08"
"A","96.88"
"A","89.62"
"A","107.22"
"A","77.75"
"A","115.13"
"A","173.63"
"A","78.26"
"A","62.09"
"A","88.23"
"A","118.49"
"A","166.87"
"A","129.92"
"A","156.72"
"A","170.53"
"A","125.5"
"A","114.13"
"A","97.97"
"A","141.46"
"A","122.32"
"A","93.26"
"A","96.94"
"A","128.77"
"A","173.92"
"A","67.08"
"A","85"
"A","97.7"
"A","76.53"
"A","112.56"
"A","102.15"
"A","175.32"
"A","134.19"
"A","135.83"
"A","145.61"
"A","118.66"
"A","139.24"
"A","112.17"
"A","151.77"
"A","132.38"
"A","202.51"
"A","138.43"
"A","146.82"
"A","126.34"
"A","147.7"
"A","131.51"
"A","79"
"A","99.66"
"A","167.9"
"A","162.33"
"A","116.52"
"A","113.98"
"A","109.7"
"A","57.7"
"A","124.85"
"A","118.08"
"A","148.04"
"A","102.98"
"A","159.25"
"A","158.54"
"A","93.25"
"A","146.43"
"A","71.81"
"A","137.91"
"A","145"
"A","127.98"
"A","98.05"
"A","121.43"
"A","122.84"
"A","108.81"
"A","97.47"
"A","215.13"
"A","142.99"
"A","102.38"
"A","164.33"
"A","87.61"
"A","68.7"
"A","150.07"
"A","174.29"
"A","147.2"
"A","159.59"
"A","162.01"
"A","109.31"
"A","88.51"
"A","120.83"
"A","143.01"
"A","131.88"
"A","123.49"
"A","148.76"
"A","93.28"
"A","115.37"
"A","146.72"
"A","141.9"
"A","129.39"
"A","87.67"
"A","137.25"
"A","86.98"
"A","69.79"
"A","152.32"
"A","120.42"
"A","137.69"
"A","132.41"
"A","87.46"
"A","110.67"
"A","82.76"
"A","107.52"
"A","105"
"A","92.73"
"A","132.24"
"A","127.08"
"A","177.36"
"A","166.49"
"A","136.56"
"A","130.32"
"A","74.05"
"A","161.39"
"A","114.88"
"A","113.96"
"A","113.69"
"A","97.86"
"A","157.18"
"A","133.28"
"A","157.24"
"A","145.74"
"A","80"
"A","146.92"
"A","139.28"
"A","135.29"
"A","129.2"
"A","131.13"
"A","143.74"
"A","106.64"
"A","125.41"
"A","184.19"
"A","130.32"
"A","102.77"
"A","91.04"
"A","142.02"
"A","112.04"
"A","19.53"
"A","169.44"
"A","104.98"
"A","96.54"
"A","99.38"
"A","63.27"
"A","92.96"
"A","93.42"
"A","79.84"
"A","79.52"
"A","116.04"
"A","113.68"
"A","130.99"
"A","147.31"
"A","111.93"
"A","124.33"
"A","102.44"
"A","162.97"
"A","172.48"
"A","136.27"
"A","84.69"
"A","134.65"
"A","95.32"
"A","109.48"
"A","86.59"
"A","155.99"
"A","101.66"
"A","124.03"
"A","113.34"
"A","133.4"
"A","67.9"
"A","148.15"
"A","131.68"
"A","127.92"
"A","136.59"
"A","107.86"
"A","122.16"
"A","101.72"
"A","72.08"
"A","116.43"
"A","65.61"
"A","112.42"
"A","123.9"
"A","128.02"
"A","120.38"
"A","129.78"
"A","140.52"
"A","161.47"
"A","97.67"
"A","48.48"
"A","141.02"
"A","174.99"
"A","99.52"
"A","50.98"
"A","71.18"
"A","162.99"
"A","154.39"
"A","123.15"
"A","113.49"
"A","105.95"
"A","90.23"
"A","126.06"
"A","141.87"
"A","145.55"
"A","176.94"
"A","111.3"
"A","105.28"
"A","119.19"
"A","141.78"
"A","153.25"
"A","109.87"
"A","123.01"
"A","100.46"
"A","112.76"
"A","122.32"
"A","124.12"
"A","45.1"
"A","137.58"
"A","150.92"
"A","143.6"
"A","66.62"
"A","141.05"
"A","98.87"
"A","65.9"
"A","75.5"
"A","115.21"
"A","114.75"
"A","163.16"
"A","112.94"
"A","169.62"
"A","126.17"
"A","75.94"
"A","109.08"
"A","121.52"
"A","99.13"
"A","148.07"
"A","149.47"
"A","100.66"
"A","139.14"
"A","146.51"
"A","128.32"
"A","112.81"
"A","98.41"
"A","82.83"
"A","116.4"
"A","123"
"A","127.65"
"A","138.77"
"A","100.24"
"A","120.63"
"A","189.16"
"A","153.12"
"A","117.49"
"A","80.83"
"A","101.51"
"A","126.91"
"A","103.27"
"A","179.32"
"A","150.95"
"A","162.79"
"A","140.17"
"A","139.01"
"A","150.61"
"A","71.38"
"A","117.98"
"A","123.38"
"A","140.74"
"A","125.83"
"A","88.22"
"A","107.12"
"A","132.41"
"A","118.7"
"A","122.58"
"A","100.63"
"A","114.91"
"A","103.31"
"A","96.12"
"A","167.27"
"A","102.63"
"A","158.4"
"A","145.24"
"A","107"
"A","113.26"
"A","149.35"
"A","101.08"
"A","109.89"
"A","163.13"
"A","94.54"
"A","122.45"
"A","106.97"
"A","91.24"
"A","138.04"
"A","116.72"
"A","129.85"
"A","97.17"
"A","163.28"
"A","134.48"
"A","93.76"
"A","128.41"
"A","164.45"
"A","100.96"
"A","127.49"
"A","131.58"
"A","84.35"
"A","108.1"
"A","57.65"
"A","132.77"
"A","118.34"
"A","158.27"
"A","123.78"
"A","142.45"
"A","109.17"
"A","101.11"
"A","125.79"
"A","146.71"
"A","76.58"
"A","111.32"
"A","134.41"
"A","140.19"
"A","126.52"
"A","101.81"
"A","111.11"
"A","109.63"
"A","162.62"
"A","60.19"
"A","57.28"
"A","148.39"
"A","125.63"
"A","133.67"
"A","55.56"
"A","158.72"
"A","123.54"
"A","142.17"
"A","82.32"
"A","160.25"
"A","101.77"
"A","134.57"
"A","110.32"
"A","114.97"
"A","122.67"
"A","97.52"
"A","154.08"
"A","143.08"
"A","165.87"
"A","76.23"
"A","150.82"
"A","135.32"
"A","93.77"
"A","115.5"
"A","150.54"
"A","100.74"
"A","122.04"
"A","140.89"
"A","177.59"
"A","88.31"
"A","155.43"
"A","134.14"
"A","137.09"
"A","100.74"
"A","131.28"
"A","158.53"
"A","128.88"
"A","156.17"
"A","122.54"
"A","122.17"
"A","73.66"
"A","123.11"
"A","102.99"
"A","114.65"
"A","118.4"
"A","111.42"
"A","132.92"
"A","115.85"
"A","92.82"
"A","152.2"
"A","123.08"
"A","81.04"
"A","87.36"
"A","89.37"
"A","84.51"
"A","136.49"
"A","154.31"
"A","100.41"
"A","132.87"
"A","161.76"
"A","167.7"
"A","107.98"
"A","157.51"
"A","110.02"
"A","117.62"
"A","85.59"
"A","92.88"
"A","155.65"
"A","168.61"
"A","126.05"
"A","137.33"
"A","132.15"
"A","131.46"
"A","124.57"
"A","106.35"
"A","108.72"
"A","145.4"
"A","127.2"
"A","118.4"
"A","106.33"
"A","146.84"
"A","111.85"
"A","149.77"
"A","149.62"
"A","75.35"
"A","71.02"
"A","143.2"
"A","86.33"
"A","113.72"
"A","151.18"
"A","112.53"
"A","125.55"
"A","109.2"
"A","190.73"
"A","97.34"
"A","110.76"
"A","79.56"
"A","132.56"
"A","128.83"
"A","112.6"
"A","127.01"
"A","117.62"
"A","150.58"
"A","126.4"
"A","76.34"
"A","114.06"
"A","154.13"
"A","167.95"
"A","121.95"
"A","112.29"
"A","104.32"
"A","132.07"
"A","107.9"
"A","130.85"
"A","99.54"
"A","141.23"
"A","138.34"
"A","140.07"
"A","121.77"
"A","126.26"
"A","134.36"
"A","103.85"
"A","126.93"
"A","110.38"
"A","101.35"
"A","144.41"
"A","176.56"
"A","128.54"
"A","171.96"
"A","80.92"
"A","101.25"
"A","102.3"
"A","114.28"
"A","169.85"
"A","133.05"
"A","92.17"
"A","127.61"
"A","128.29"
"A","92.58"
"A","118.34"
"A","96.73"
"A","61.98"
"A","143.48"
"A","95.67"
"A","100.29"
"A","129.96"
"A","76.82"
"A","113"
"A","99.09"
"A","145.31"
"A","93.44"
"A","101.5"
"A","145.17"
"A","117.18"
"A","131.7"
"A","108.76"
"A","107.96"
"A","124.95"
"A","108.05"
"A","61.68"
"A","106.72"
"A","145.25"
"A","102.36"
"A","121.64"
"A","123.94"
"A","128.75"
"A","80.69"
"A","80.12"
"A","84.64"
"A","123.61"
"A","86.71"
"A","132.8"
"A","132.08"
"A","75.37"
"A","130.74"
"A","141.15"
"A","131.95"
"A","133.59"
"A","167.7"
"A","96"
"A","76.49"
"A","153.87"
"A","161.95"
"A","107.81"
"A","152.9"
"A","132.02"
"A","108.25"
"A","167.6"
"A","114.93"
"A","116.58"
"A","147.53"
"A","49.13"
"A","101.48"
"A","139.58"
"A","110.21"
"A","140.25"
"A","88.84"
"A","166.67"
"A","139.66"
"A","148"
"A","145.75"
"A","97.35"
"A","140.57"
"A","94.32"
"A","118.38"
"A","104.01"
"A","156.88"
"A","97.46"
"A","109.51"
"A","116.26"
"A","84.67"
"A","96.45"
"A","132.3"
"A","136.76"
"A","114.19"
"A","82"
"A","151.43"
"A","164.55"
"A","141.8"
"A","135.17"
"A","112.78"
"A","159.71"
"A","61.76"
"A","120.28"
"A","137.28"
"A","83.8"
"A","114.62"
"A","125.91"
"A","109.99"
"A","136.7"
"A","162.42"
"A","138.2"
"A","97.3"
"A","154.2"
"A","102.03"
"A","64.2"
"A","101.53"
"A","96.48"
"A","79.33"
"A","81.89"
"A","132.81"
"A","96.63"
"A","80.01"
"A","109.42"
"A","162.78"
"A","122.85"
"A","130.27"
"A","114.91"
"A","61.03"
"A","167.29"
"A","128.34"
"A","95.98"
"A","145.38"
"A","75.98"
"A","159.88"
"A","98.63"
"A","94.5"
"A","92.51"
"A","169.66"
"A","69.03"
"A","79.95"
"A","144.97"
"A","119.46"
"A","97.58"
"A","81.41"
"A","104.39"
"A","122.36"
"A","117.62"
"A","158.9"
